postcode,prefecture,city,ward
10015,Hokkaido,Sapporo Shi,Kita15-Jonishi
10016,Hokkaido,Sapporo Shi,Kita16-Jonishi
10018,Hokkaido,Sapporo Shi,Kita18-Jonishi
10020,Hokkaido,Sapporo Shi,Kita20-Jonishi
10024,Hokkaido,Sapporo Shi,Kita24-Jonishi
10025,Hokkaido,Sapporo Shi,Kita25-Jonishi
10026,Hokkaido,Sapporo Shi,Kita26-Jonishi
10029,Hokkaido,Sapporo Shi,Kita29-Jonishi
10034,Hokkaido,Sapporo Shi,Kita34-Jonishi
10036,Hokkaido,Sapporo Shi,Kita36-Jonishi
10037,Hokkaido,Sapporo Shi,Kita37-Jonishi
10904,Hokkaido,Sapporo Shi,Shinkotoni
10907,Hokkaido,Sapporo Shi,Shinkotoni
10910,Hokkaido,Sapporo Shi,Shinkotoni
10924,Hokkaido,Sapporo Shi,Shinkawa
10925,Hokkaido,Sapporo Shi,Shinkawa
10930,Hokkaido,Sapporo Shi,Shinkawa
20856,Hokkaido,Sapporo Shi,Tonden
20857,Hokkaido,Sapporo Shi,Tonden
20859,Hokkaido,Sapporo Shi,Tonden
28008,Hokkaido,Sapporo Shi,Taihei
28021,Hokkaido,Sapporo Shi,Shinoro
28026,Hokkaido,Sapporo Shi,Shinoro
28034,Hokkaido,Sapporo Shi,Nishibarato
28052,Hokkaido,Sapporo Shi,Shinorocho Kamishinoro
28053,Hokkaido,Sapporo Shi,Shinorocho Shinoro
28072,Hokkaido,Sapporo Shi,Ainosato
28074,Hokkaido,Sapporo Shi,Ainosato
28075,Hokkaido,Sapporo Shi,Ainosato
28091,Hokkaido,Sapporo Shi,Minamiainosato
30004,Hokkaido,Sapporo Shi,Higashisapporo
30023,Hokkaido,Sapporo Shi,Nangodori
30024,Hokkaido,Sapporo Shi,Hongodori
30026,Hokkaido,Sapporo Shi,Hondori
30029,Hokkaido,Sapporo Shi,Heiwadori
30806,Hokkaido,Sapporo Shi,Kikusui
30809,Hokkaido,Sapporo Shi,Kikusui
