latitude,longitude,postcode
42.8863,143.4148,10015
42.8863,143.4148,10016
42.8863,143.4148,10018
42.8863,143.4148,10020
43.0909,141.3436,10024
43.0918,141.3408,10025
43.0928,141.3409,10026
43.0954,141.3376,10029
43.102,141.3367,10034
43.104,141.3389,10036
43.1053,141.3387,10037
42.8863,143.4148,10904
42.8863,143.4148,10907
42.8863,143.4148,10910
42.8863,143.4148,10924
42.8863,143.4148,10925
42.9947,141.2495,10930
42.8557,142.3432,20856
42.8557,142.3432,20857
42.8557,142.3432,20859
42.8557,142.3432,28008
42.8557,142.3432,28021
42.8557,142.3432,28026
42.8557,142.3432,28034
42.8557,142.3432,28052
42.8557,142.3432,28053
42.8557,142.3432,28072
42.8557,142.3432,28074
42.8557,142.3432,28075
43.1537,141.4,28091
42.49,143.2781,30004
42.49,143.2781,30023
42.49,143.2781,30024
42.49,143.2781,30026
42.49,143.2781,30029
43.611,143.2106,30806
43.611,143.2106,30809
43.611,143.2106,30836
42.9947,141.2495,30859
42.9947,141.2495,30869
43.611,143.2106,30871
43.611,143.2106,30876
43.0259,144.8505,40003
43.0259,144.8505,40004
43.0259,144.8505,40006
43.0259,144.8505,40007
43.0259,144.8505,40012
43.0259,144.8505,40013
43.0382,141.4966,40014
43.0294,141.4777,40021
43.0259,144.8505,40032
43.0271,141.456,40041
43.0259,144.8505,40053
43.0259,144.8505,40069
43.0259,144.8505,40811
43.0259,144.8505,40839
43.0259,144.8505,40843
43.0259,144.8505,40862
43.0259,144.8505,40864
43.0259,144.8505,40872
43.0259,144.8505,40874
43.0259,144.8505,40875
43.0067,141.4737,40882
41.55,140.25,50003
41.55,140.25,50004
41.55,140.25,50005
41.55,140.25,50006
42.275,140.8,50011
42.275,140.8,50012
42.275,140.8,50014
42.275,140.8,50018
42.275,140.8,50030
42.9548,141.4142,50801
42.9548,141.4142,50803
42.9548,141.4142,50807
42.9831,141.321,50822
42.9881,141.312,50825
42.9667,141.3333,50841
42.9667,141.3333,50842
42.9548,141.4142,50850
42.9487,141.3475,50852
42.8557,142.3432,60013
42.8557,142.3432,60026
42.8557,142.3432,60033
42.8557,142.3432,60034
42.8557,142.3432,60043
42.8557,142.3432,60805
42.8557,142.3432,60814
42.8557,142.3432,60817
42.8557,142.3432,60820
42.8557,142.3432,60829
42.8557,142.3432,60837
42.8557,142.3432,60853
42.8557,142.3432,60860
42.6148,142.1557,70807
42.6148,142.1557,70810
42.6148,142.1557,70820
43.1052,141.353,70836
43.1166,141.3518,70846
42.6148,142.1557,70868
42.6148,142.1557,70871
43.1,141.3833,70880
43.1,141.3833,70881
42.6148,142.1557,70890
42.6148,142.1557,70894
42.6148,142.1557,70895
39.7152,140.1221,100001
39.709,140.1274,100014
39.7073,140.1139,100021
39.704,140.1284,100035
39.7063,140.1475,100041
39.7118,140.1759,100051
39.7098,140.1593,100059
39.6965,140.1025,100065
39.8162,140.0933,100101
39.8254,140.089,100126
39.8015,140.0566,100146
39.7619,140.0972,100201
39.9,139.95,100341
39.8791,140.026,100411
39.9522,140.1143,100443
39.8667,139.8167,100521
39.9324,139.7855,100683
39.7592,140.1069,100802
39.7199,140.1354,100851
39.729,140.1299,100863
39.7281,140.124,100871
39.7234,140.1249,100875
39.722,140.12,100877
39.7308,140.1224,100902
39.7278,140.1142,100904
39.7242,140.1101,100913
39.7254,140.1097,100916
39.7154,140.1148,100921
39.7189,140.1052,100951
39.7278,140.0944,100976
39.7303,140.2086,101103
39.5936,140.1673,101222
39.6625,140.1579,101413
39.6862,140.1359,101423
39.6889,140.1176,101437
39.6,140.0833,101503
39.7072,140.076,101602
39.7046,140.0766,101603
39.7002,140.0716,101608
39.6861,140.0807,101621
39.6877,140.0882,101632
39.6662,140.107,101651
39.6502,140.1156,101652
39.7827,140.0633,110911
39.7514,140.0876,110936
39.7631,140.0749,110941
39.7615,140.0771,110943
39.15,140.4667,120055
39.1166,140.5759,120104
39.1331,140.5685,120106
39.1166,140.5759,120183
39.5576,140.3707,120803
39.1664,140.4995,120823
39.6667,140.5667,120853
39.2673,140.3884,120867
39.6985,140.2281,121100
39.1456,140.527,121132
40.2512,140.5313,130008
39.7329,140.1974,130016
39.7353,140.303,130037
39.2667,140.3833,130041
39.3169,140.5503,130064
39.5114,140.3173,130075
39.2677,140.5043,130101
39.2667,140.4833,130105
39.2833,140.4167,130205
39.3256,140.4393,130415
39.9864,140.3207,140016
39.772,140.3863,140045
39.772,140.3863,140047
39.772,140.3863,140054
39.7715,140.0912,140061
39.772,140.3863,140072
39.772,140.3863,140073
39.4524,140.3614,140113
39.5333,140.5333,140207
39.5887,140.6144,140335
39.5887,140.6144,140347
39.5887,140.6144,140372
39.6577,140.5706,140512
39.6231,140.4299,140602
39.5475,140.6202,140712
39.6184,140.593,141114
39.7,140.7167,141201
39.4,140.4833,141412
39.6284,140.1971,150014
39.594,140.0894,150041
40.2676,140.5633,150075
39.3,140.2833,150211
39.3,140.1167,150341
39.2425,140.1439,150404
39.1716,140.2156,150504
40.2714,140.5601,150885
40.2327,140.0749,160005
40.2208,140.0355,160013
40.2029,140.1448,160014
40.1914,140.0923,160122
40.1767,140.0196,160171
40.0705,140.1684,160184
39.8899,140.2069,160822
39.8899,140.2069,160851
39.8899,140.2069,160854
39.9778,140.324,160896
40.304,140.5666,170012
40.2814,140.5679,170043
40.2974,140.5445,170052
40.379,140.7313,170201
40.2712,140.5696,170813
40.2672,140.5445,170866
40.274,140.5439,170872
40.275,140.4815,170878
39.1857,139.9447,180148
39.1857,139.9447,180185
39.4674,140.0607,180311
39.2667,139.9667,180411
39.3509,140.0052,180602
39.3563,140.0095,180604
39.4462,140.0644,180722
39.531,140.0548,181305
39.8308,140.0499,181401
40.2693,140.7115,181523
39.8147,140.1611,181606
39.7956,140.1285,181711
39.7905,140.1375,181732
40.0361,140.0844,182104
40.0967,140.0773,182303
40.0975,140.0284,182401
40.2801,140.0631,182507
40.1877,140.2248,183141
40.1877,140.2248,183157
40.2808,140.2626,183201
40.1723,140.3738,183314
40.1723,140.3738,183333
40.1785,140.4046,183452
40.2901,140.5546,183501
40.1521,140.3067,184282
40.0645,140.2909,184421
40.0943,140.4159,184516
40.0046,140.4011,184611
40.1333,140.8054,185141
40.1836,140.7872,185201
40.1882,140.7698,185202
40.2678,140.77,185334
40.4538,140.8306,185501
40.4538,140.8306,185501
40.2272,140.6743,185605
40.2286,140.5802,185701
40.1988,140.5171,185741
40.2422,140.5515,185751
39.05,140.4333,190112
39.0571,140.4487,190204
39.225,140.4917,190508
39.3098,140.4125,190701
39.1833,140.65,190801
39.4167,140.55,191404
39.5,140.6,191601
39.5,140.6,191613
39.4996,140.4342,191701
39.5176,140.4374,191866
39.5473,140.3858,192112
39.6,140.35,192411
39.6719,140.2278,192625
39.6487,140.2838,192742
39.751,141.1962,200002
39.7209,141.1694,200004
39.7454,141.2692,200013
39.708,141.1497,200015
39.7054,141.1456,200021
39.7013,141.1469,200024
39.6999,141.1441,200025
39.5891,141.1203,200033
39.5891,141.1203,200034
39.5891,141.1203,200044
39.7009,141.1334,200045
39.6773,141.0238,200053
39.716,141.1509,200061
39.3884,141.1103,200062
39.7454,141.2692,200063
39.3884,141.1103,200066
39.4001,141.1503,200102
39.7611,141.1722,200105
39.7548,141.1672,200106
39.7417,141.1452,200111
39.7251,141.1383,200114
39.742,141.1187,200122
39.7465,141.1307,200124
39.717,141.1231,200127
39.7272,141.115,200133
39.4001,141.1503,200144
40.1787,141.3094,200201
39.7667,141.9833,200401
39.7667,141.9833,200402
39.7454,141.2692,200403
40.2927,141.2742,200544
39.1056,141.224,200605
38.996,141.7019,200611
39.7904,141.0726,200612
39.3281,141.2485,200632
39.3281,141.2485,200633
39.7904,141.0726,200643
39.3354,141.2743,200675
39.3354,141.2743,200685
39.7026,141.1726,200805
39.7077,141.1659,200807
39.6923,141.164,200822
39.6791,141.1653,200824
39.776,141.317,200833
39.776,141.317,200835
39.7454,141.2692,200841
39.6828,141.144,200851
39.776,141.317,200853
39.6862,141.1512,200861
39.6888,141.1372,200866
39.776,141.317,200876
39.776,141.317,200881
39.776,141.317,200887
39.7449,141.105,210041
39.7449,141.105,210061
39.3847,141.2414,210101
39.3847,141.2414,210221
39.2766,141.2823,210807
39.2766,141.2823,210821
38.9451,141.2298,210852
39.3853,141.2344,210864
39.3909,141.121,210871
39.3379,141.044,210884
39.3808,141.1087,210894
39.3847,141.2414,210901
39.3847,141.2414,210902
39.6053,141.263,220001
39.6053,141.263,220002
39.6053,141.263,220004
39.6053,141.263,220006
39.6053,141.263,220007
39.6053,141.263,220211
39.6053,141.263,230003
39.6053,141.263,230032
39.6053,141.263,230037
39.6053,141.263,230064
39.6053,141.263,230401
39.6053,141.263,230402
39.6053,141.263,230816
39.6053,141.263,230841
39.6053,141.263,230864
39.6053,141.263,230875
39.6053,141.263,231101
39.6053,141.263,231134
39.6053,141.263,231762
39.3308,141.0987,240004
39.3035,141.1156,240012
39.3016,141.126,240021
39.2833,141.1167,240022
39.3289,141.1754,240043
39.25,141.1167,240051
39.2891,141.1401,240071
39.3289,141.1421,240104
39.3167,140.9667,240331
39.3236,140.9923,240333
39.4146,141.1058,250001
39.4204,141.1142,250002
39.432,141.1411,250004
39.3864,141.1758,250014
39.3702,141.1191,250021
39.3754,141.0482,250037
39.395,141.0604,250042
39.3955,141.0898,250053
39.4075,141.1213,250061
39.4082,141.1037,250066
39.3951,141.1129,250071
39.3866,141.1229,250082
39.3886,141.1038,250097
39.362,141.048,250131
39.443,141.0824,250304
39.2607,141.8935,260002
39.2707,141.8591,260034
39.2582,141.8337,260053
39.3258,141.3341,260055
39.3258,141.3341,260121
39.3258,141.3341,260301
39.6268,141.9603,270024
39.7068,141.5958,270035
39.6212,141.9515,270039
39.6333,141.8833,270041
39.6391,141.9415,270052
39.6336,141.4643,270094
39.6336,141.4643,270096
39.6336,141.4643,270097
39.5816,142.0221,270111
39.5667,141.9333,270203
39.7361,141.9707,270301
39.7361,141.9707,270352
39.8471,141.9601,270421
39.85,141.8,270501
39.2069,141.2629,280001
40.1433,141.6593,280021
38.9868,141.7112,280024
39.2069,141.2629,280033
40.1433,141.6593,280051
39.2069,141.2629,280071
39.2069,141.2629,280091
39.3895,141.2304,280114
39.3258,141.2309,280304
39.3942,140.9385,280503
39.3942,140.9385,280525
39.3942,140.9385,280541
39.35,141.9167,281101
39.3667,141.9,281131
39.2682,141.7533,281361
39.65,141.75,282104
39.8167,141.7333,282233
39.6,141.6917,282304
39.4723,141.1461,283163
39.4923,141.1292,283172
39.5035,141.1636,283202
39.5035,141.1636,283203
39.55,141.1667,283305
39.5623,141.1514,283308
39.4855,141.1659,283312
39.2056,141.446,283451
40.1817,141.1127,283613
40.1817,141.1127,283615
40.1817,141.1127,283616
40.1728,141.2266,283622
39.8749,141.1695,284125
39.7454,141.2692,284134
39.9167,141.2,284211
39.8621,141.1674,284307
39.8675,141.172,284421
40.0899,141.2481,285133
40.0631,141.2295,285134
40.2197,141.2899,285312
40.1457,141.2917,285402
40.1457,141.2917,285403
39.8667,141.65,285641
40.3167,141.3,285711
40.2786,141.3232,286101
40.263,141.2834,286103
40.2907,141.3004,286105
40.3214,141.4583,286302
40.2087,141.4245,286502
40.184,141.4213,286611
40.2572,141.3624,286851
39.9,141.1,287111
40.0238,140.9911,287301
39.9333,141.0833,287404
39.9333,141.0833,287405
39.1359,141.2416,287535
39.9025,141.17,287801
40.2678,141.5854,287906
39.4817,141.1786,287912
39.4817,141.1786,287913
39.9088,141.5168,288111
40.1064,141.8178,288201
39.8333,141.5917,288331
39.9127,141.9452,288404
39.9127,141.9452,288404
39.9088,141.5168,288602
40.2853,141.6287,288802
38.9368,141.1841,290132
38.9175,141.2749,290202
38.9833,141.25,290302
38.9897,141.327,290523
38.973,141.2663,290602
38.973,141.2663,290711
38.973,141.2663,290803
38.9288,141.4259,291202
38.9922,141.6886,292205
38.9922,141.6886,292206
39.1333,141.5833,292311
39.0628,141.636,292501
38.8326,141.1728,293101
38.8465,141.1935,293105
38.8755,141.3496,293405
38.9833,141.1167,294102
39.2047,141.1508,294201
39.2047,141.1508,294201
39.2047,141.1508,294201
39.2047,141.1508,294201
39.2047,141.1508,294206
39.2047,141.1508,294206
39.2047,141.1508,294206
39.2047,141.1508,294206
39.2047,141.1508,294206
39.2047,141.1508,294206
39.2047,141.1508,294206
39.2047,141.1508,294206
39.2047,141.1508,294206
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294208
39.2047,141.1508,294332
39.426,141.185,294501
39.426,141.185,294503
39.4417,140.7833,295503
39.4417,140.7833,295503
39.4417,140.7833,295503
39.4417,140.7833,295503
39.4417,140.7833,295512
39.4,140.7667,295614
40.7778,140.7757,300125
40.7669,140.765,300132
40.7705,140.7317,300145
40.8185,140.7621,300813
40.8171,140.7563,300821
40.8182,140.7474,300822
40.8069,140.7485,300845
40.8013,140.7431,300847
40.8129,140.7314,300853
40.8015,140.7241,300856
