Table 1
sid,class,name,postcode,address
C106246130018,C1,遊佐町立遊佐中学校,9998311,山形県飽海郡遊佐町小原田字上川原
D106246150011,D1,山形県立遊佐高等学校,9998301,山形県飽海郡遊佐町遊佐字堅田
C106220430074,C1,酒田市立鳥海八幡中学校,9998234,山形県酒田市小泉字前田
C106242830029,C1,庄内町立余目中学校,9997781,山形県東田川郡庄内町余目字猿田
D106242850013,D1,山形県立庄内総合高等学校,9997707,山形県東田川郡庄内町廿六木三ツ車
C106220330075,C1,鶴岡市立藤島中学校,9997601,山形県鶴岡市藤島字笹花
D106220350069,D1,山形県立庄内農業高等学校,9997601,山形県鶴岡市藤島字古楯跡
C106220330066,C1,鶴岡市立豊浦中学校,9997463,山形県鶴岡市三瀬横町
C106220330119,C1,鶴岡市立温海中学校,9997123,山形県鶴岡市大岩川字黒岩
C106220430083,C1,酒田市立東部中学校,9996711,山形県酒田市飛鳥字堂之後
C106242830010,C1,庄内町立立川中学校,9996601,山形県東田川郡庄内町狩川字松葉
C106236730013,C1,戸沢村立戸沢中学校,9996402,山形県最上郡戸沢村大字蔵岡
C206236740010,C2,戸沢村立戸沢学園,9996402,山形県最上郡戸沢村大字蔵岡
C106236230018,C1,最上町立最上中学校,9996101,山形県最上郡最上町向町
D106236250011,D1,山形県立新庄北高等学校最上校,9996101,山形県最上郡最上町大字向町字水上
C106236430016,C1,真室川町立真室川中学校,9995521,山形県最上郡真室川町大沢
C106236130019,C1,金山町立金山中学校,9995402,山形県最上郡金山町大字金山
D106236150012,D1,山形県立新庄南高等学校金山校,9995402,山形県最上郡金山町大字金山
D106236450019,D1,山形県立新庄神室産業高等学校真室川校,9995312,山形県最上郡真室川町大字新町字塩野
C106236630014,C1,鮭川村立鮭川中学校,9995207,山形県最上郡鮭川村大字庭月
C206220540016,C2,新庄市立萩野学園,9995103,山形県新庄市大字泉田字往還東
C106236330017,C1,舟形町立舟形中学校,9994601,山形県最上郡舟形町舟形
C106221230010,C1,尾花沢市立福原中学校,9994553,山形県尾花沢市大字野黒沢
C106221230029,C1,尾花沢市立尾花沢中学校,9994229,山形県尾花沢市横町
D106221250013,D1,山形県立北村山高等学校,9994221,山形県尾花沢市大字尾花沢
C106234130014,C1,大石田町立大石田中学校,9994111,山形県北村山郡大石田町大石田丁
C106221130011,C1,東根市立第一中学校,9993786,山形県東根市鷺の宿
C106221130048,C1,東根市立大富中学校,9993770,山形県東根市柏原
C106221130057,C1,東根市立神町中学校,9993737,山形県東根市神町北
